module,function,datetime,provider,level,msg
FlaLD_BepressDC,log,"2021-08-04 09:11:38,979",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1086"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,983",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1087"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,985",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1088"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,988",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1089"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,990",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1090"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,992",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1091"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,995",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1092"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,998",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1093"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,001",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1094"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,004",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1095"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,007",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1096"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,009",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1097"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,012",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1098"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,017",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1099"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,019",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1101"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,022",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1102"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,023",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1106"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,025",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1107"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,028",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1108"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,031",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1115"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,034",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1119"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,036",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1118"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,039",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1120"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,041",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1122"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,043",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1123"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,046",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1124"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,048",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1125"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,050",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1126"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,053",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1127"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,055",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1128"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,057",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1129"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,060",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1130"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,063",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1131"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,065",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1132"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,067",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1133"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,069",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1134"
FlaLD_BepressDC,log,"2021-08-04 09:11:39,071",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1135"
